material_id,pretty_formula,formation_energy_per_atom,num_elements,elements,crystal_system,space_group_symbol,nsites,composition,num_halogens,num_unique_halogen_types
mp-1112943,Cs2AgSbBr6,-1.4068146840977,4,"[Element Ag, Element Br, Element Cs, Element Sb]",Cubic,Fm-3m,10,Cs2 Ag1 Sb1 Br6,6.0,1
mp-1112940,Cs2AgSbCl6,-1.651126571097701,4,"[Element Ag, Element Cl, Element Cs, Element Sb]",Cubic,Fm-3m,10,Cs2 Ag1 Sb1 Cl6,6.0,1
mp-1113227,Cs2AgSbF6,-2.529717503097701,4,"[Element Ag, Element Cs, Element F, Element Sb]",Cubic,Fm-3m,10,Cs2 Ag1 Sb1 F6,6.0,1
mp-1112941,Cs2AgSbI6,-1.044632548097701,4,"[Element Ag, Element Cs, Element I, Element Sb]",Cubic,Fm-3m,10,Cs2 Ag1 Sb1 I6,6.0,1
mp-1113577,Cs2AlAgBr6,-1.552463265097701,4,"[Element Ag, Element Al, Element Br, Element Cs]",Cubic,Fm-3m,10,Cs2 Al1 Ag1 Br6,6.0,1
mp-1113621,Cs2AlAgCl6,-1.7016005875000042,4,"[Element Ag, Element Al, Element Cl, Element Cs]",Cubic,Fm-3m,10,Cs2 Al1 Ag1 Cl6,6.0,1
mp-1113614,Cs2AlAgF6,-3.0340755550977,4,"[Element Ag, Element Al, Element Cs, Element F]",Cubic,Fm-3m,10,Cs2 Al1 Ag1 F6,6.0,1
mp-1113424,Cs2AlAuBr6,-1.439757383931034,4,"[Element Al, Element Au, Element Br, Element Cs]",Cubic,Fm-3m,10,Cs2 Al1 Au1 Br6,6.0,1
mp-1113220,Cs2AlAuCl6,-1.553849828750002,4,"[Element Al, Element Au, Element Cl, Element Cs]",Cubic,Fm-3m,10,Cs2 Al1 Au1 Cl6,6.0,1
mp-1113113,Cs2AlAuF6,-2.830555843222217,4,"[Element Al, Element Au, Element Cs, Element F]",Cubic,Fm-3m,10,Cs2 Al1 Au1 F6,6.0,1
mp-1112932,Cs2AlAuI6,-1.0337027559310341,4,"[Element Al, Element Au, Element Cs, Element I]",Cubic,Fm-3m,10,Cs2 Al1 Au1 I6,6.0,1
mp-1113187,Cs2AlCuCl6,-1.628220088374995,4,"[Element Al, Element Cl, Element Cs, Element Cu]",Cubic,Fm-3m,10,Cs2 Al1 Cu1 Cl6,6.0,1
mp-1112629,Cs2AlHgBr6,-1.522564671181035,4,"[Element Al, Element Br, Element Cs, Element Hg]",Cubic,Fm-3m,10,Cs2 Al1 Hg1 Br6,6.0,1
mp-1112616,Cs2AlHgCl6,-1.822616389181035,4,"[Element Al, Element Cl, Element Cs, Element Hg]",Cubic,Fm-3m,10,Cs2 Al1 Hg1 Cl6,6.0,1
mp-1113101,Cs2AlHgF6,-2.966533389181035,4,"[Element Al, Element Cs, Element F, Element Hg]",Cubic,Fm-3m,10,Cs2 Al1 Hg1 F6,6.0,1
